name,price
Courtyard Shanghai Xujiahui,
Le Royal Méridien Shanghai,
Shanghai Marriott Hotel City Centre,
JW Marriott Hotel Shanghai at Tomorrow Square,
The Shanghai EDITION,
Renaissance Shanghai Yu Garden Hotel,
"The Westin Bund Center, Shanghai",
Bulgari Hotel Shanghai,
The St. Regis Shanghai Jingan,
"The Portman Ritz-Carlton, Shanghai",
Courtyard Shanghai Central,
"The Ritz-Carlton Shanghai, Pudong",
W Shanghai - The Bund,
"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™",
Sheraton Shanghai Hongkou Hotel,
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai",
JW Marriott Marquis Hotel Shanghai Pudong,
"Four Points by Sheraton Shanghai, Pudong",
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",
Sheraton Grand Shanghai Pudong Hotel & Residences,
Fairfield by Marriott Shanghai Jingan,
Courtyard Shanghai-Pudong,
"Four Points by Sheraton Shanghai, Daning",
Shanghai Marriott Hotel Parkview,
Renaissance Shanghai Putuo Hotel,
Renaissance Shanghai Zhongshan Park Hotel,
Shanghai Marriott Hotel Riverside,
Renaissance Shanghai Pudong Hotel,
Renaissance Shanghai Yangtze Hotel,
JW Marriott Hotel Shanghai Changfeng Park,
Courtyard Shanghai Changfeng Park,
Renaissance Shanghai Caohejing Hotel,
Shanghai Marriott Hotel Hongqiao,
Shanghai Marriott Hotel Pudong East,
Aloft Shanghai Zhangjiang Haike,
"Le Méridien Shanghai, Minhang",
Sheraton Shanghai Waigaoqiao Hotel,
Delta Hotels Shanghai Baoshan,
Shanghai Marriott Hotel Kangqiao,
Courtyard Shanghai International Tourism and Resorts Zone,
name,price
Courtyard Shanghai Xujiahui,
Le Royal Méridien Shanghai,
Shanghai Marriott Hotel City Centre,
JW Marriott Hotel Shanghai at Tomorrow Square,
The Shanghai EDITION,
Renaissance Shanghai Yu Garden Hotel,
"The Westin Bund Center, Shanghai",
Bulgari Hotel Shanghai,
The St. Regis Shanghai Jingan,
"The Portman Ritz-Carlton, Shanghai",
Courtyard Shanghai Central,
"The Ritz-Carlton Shanghai, Pudong",
W Shanghai - The Bund,
"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™",
Sheraton Shanghai Hongkou Hotel,
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai",
JW Marriott Marquis Hotel Shanghai Pudong,
"Four Points by Sheraton Shanghai, Pudong",
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",
Sheraton Grand Shanghai Pudong Hotel & Residences,
Fairfield by Marriott Shanghai Jingan,
Courtyard Shanghai-Pudong,
"Four Points by Sheraton Shanghai, Daning",
Shanghai Marriott Hotel Parkview,
Renaissance Shanghai Putuo Hotel,
Renaissance Shanghai Zhongshan Park Hotel,
Shanghai Marriott Hotel Riverside,
Renaissance Shanghai Pudong Hotel,
Renaissance Shanghai Yangtze Hotel,
JW Marriott Hotel Shanghai Changfeng Park,
Courtyard Shanghai Changfeng Park,
Renaissance Shanghai Caohejing Hotel,
Shanghai Marriott Hotel Hongqiao,
Shanghai Marriott Hotel Pudong East,
Aloft Shanghai Zhangjiang Haike,
"Le Méridien Shanghai, Minhang",
Sheraton Shanghai Waigaoqiao Hotel,
Delta Hotels Shanghai Baoshan,
Shanghai Marriott Hotel Kangqiao,
Courtyard Shanghai International Tourism and Resorts Zone,
name,price
Courtyard Shanghai Xujiahui,
Le Royal Méridien Shanghai,
Shanghai Marriott Hotel City Centre,
JW Marriott Hotel Shanghai at Tomorrow Square,
The Shanghai EDITION,
Renaissance Shanghai Yu Garden Hotel,
"The Westin Bund Center, Shanghai",
Bulgari Hotel Shanghai,
The St. Regis Shanghai Jingan,
"The Portman Ritz-Carlton, Shanghai",
Courtyard Shanghai Central,
"The Ritz-Carlton Shanghai, Pudong",
W Shanghai - The Bund,
"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™",
Sheraton Shanghai Hongkou Hotel,
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai",
JW Marriott Marquis Hotel Shanghai Pudong,
"Four Points by Sheraton Shanghai, Pudong",
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",
Sheraton Grand Shanghai Pudong Hotel & Residences,
Fairfield by Marriott Shanghai Jingan,
Courtyard Shanghai-Pudong,
"Four Points by Sheraton Shanghai, Daning",
Shanghai Marriott Hotel Parkview,
Renaissance Shanghai Putuo Hotel,
Renaissance Shanghai Zhongshan Park Hotel,
Shanghai Marriott Hotel Riverside,
Renaissance Shanghai Pudong Hotel,
Renaissance Shanghai Yangtze Hotel,
JW Marriott Hotel Shanghai Changfeng Park,
Courtyard Shanghai Changfeng Park,
Renaissance Shanghai Caohejing Hotel,
Shanghai Marriott Hotel Hongqiao,
Shanghai Marriott Hotel Pudong East,
Aloft Shanghai Zhangjiang Haike,
"Le Méridien Shanghai, Minhang",
Sheraton Shanghai Waigaoqiao Hotel,
Delta Hotels Shanghai Baoshan,
Shanghai Marriott Hotel Kangqiao,
Courtyard Shanghai International Tourism and Resorts Zone,
name,price
Courtyard Shanghai Xujiahui,
Le Royal Méridien Shanghai,
Shanghai Marriott Hotel City Centre,
JW Marriott Hotel Shanghai at Tomorrow Square,
The Shanghai EDITION,
Renaissance Shanghai Yu Garden Hotel,
"The Westin Bund Center, Shanghai",
Bulgari Hotel Shanghai,
The St. Regis Shanghai Jingan,
"The Portman Ritz-Carlton, Shanghai",
Courtyard Shanghai Central,
"The Ritz-Carlton Shanghai, Pudong",
W Shanghai - The Bund,
"The Waterhouse at South Bund, Shanghai, a Member of Design Hotels™",
Sheraton Shanghai Hongkou Hotel,
"Twelve at Hengshan, a Luxury Collection Hotel, Shanghai",
JW Marriott Marquis Hotel Shanghai Pudong,
"Four Points by Sheraton Shanghai, Pudong",
"The Hongta Hotel, a Luxury Collection Hotel, Shanghai",
Sheraton Grand Shanghai Pudong Hotel & Residences,
Fairfield by Marriott Shanghai Jingan,
Courtyard Shanghai-Pudong,
"Four Points by Sheraton Shanghai, Daning",
Shanghai Marriott Hotel Parkview,
Renaissance Shanghai Putuo Hotel,
Renaissance Shanghai Zhongshan Park Hotel,
Shanghai Marriott Hotel Riverside,
Renaissance Shanghai Pudong Hotel,
Renaissance Shanghai Yangtze Hotel,
JW Marriott Hotel Shanghai Changfeng Park,
Courtyard Shanghai Changfeng Park,
Renaissance Shanghai Caohejing Hotel,
Shanghai Marriott Hotel Hongqiao,
Shanghai Marriott Hotel Pudong East,
Aloft Shanghai Zhangjiang Haike,
"Le Méridien Shanghai, Minhang",
Sheraton Shanghai Waigaoqiao Hotel,
Delta Hotels Shanghai Baoshan,
Shanghai Marriott Hotel Kangqiao,
Courtyard Shanghai International Tourism and Resorts Zone,
name,price
Courtyard Shanghai Xujiahui,735
Le Royal Méridien Shanghai,"1,282"
